titre,artiste,track_id,playlist
Destination Unknown,Hoatsin,0zF3x7KOE8UUGRciQ8jvAM,Lofi Hip Hop
Evening Haze,Serotone,21LSOdc4guktrrG3PfN7OZ,Lofi Hip Hop
What You Say,amies,1CILQFcXfak3seaC9ZYapW,Lofi Hip Hop
The sounds of the night,Dark Winter,4DMmk6n4zGtGsJR263ojGC,Lofi Hip Hop
A Place to Rest,saint rumi,2bJHTyPNCbu4qZi3K5lfn2,Lofi Hip Hop
glazed with rain,bad at math.,0MIdCt5Uo0r0BKk4IuGDJh,Lofi Hip Hop
to the top,Flx.Lxiv,3yCYW1fEDW15r7shuv0Tio,Lofi Hip Hop
time has flowed gently ever since the morning rain stopped,L!aW,0AiWH7wSRmxIVlbWi8WLEk,Lofi Hip Hop
Blooming,Cloophie,7237dJZuhEJ8VyUCod4Z8k,Lofi Hip Hop
in my dreams;,L!aW,1FWs6oltUx1bRYuL6RtJ1y,Lofi Hip Hop
Lull,drmycat,2aJPpSo8sSvyiP3bd7ZWqq,Lofi Hip Hop
by oUrself,L!aW,6VSrmV0S4AzvaIIQogbaaE,Lofi Hip Hop
why do I feel like im never enough?,L!aW,3vxJKbjjD3EfheZpg7dlos,Lofi Hip Hop
Childhood friend,Dark Winter,4HW6muj4rouBYrTVU0yjwo,Lofi Hip Hop
life seems fast when Im stuck,L!aW,2PKjNOSJ8AHx4tJzf0znMg,Lofi Hip Hop
Relic,HanamiBeats,745cywuJyLqHZxXJMjmBFP,Lofi Hip Hop
this flower is for U,L!aW,2XAdi6SDarl3aIjCJLAgqV,Lofi Hip Hop
Haze,escapist.,17vtJFWVii71NgcLDvvJEz,Lofi Hip Hop
Floating,saint rumi,6cXSHVkmsCPJ30OWaqwly5,Lofi Hip Hop
Afternoon,boone,3Pi6Jps9iKlgrd65GV3673,Lofi Hip Hop
Airport Ride,Fourth Dogma,2ymiDyAKhLlfX3ttcPS8kn,Lofi Hip Hop
midnight,Flx.Lxiv,7fdVQlYSVj0LoILDPwSgKe,Lofi Hip Hop
Sirius,saint rumi,1tYArr1Y6jFMBYtpq2HACG,Lofi Hip Hop
back & forth...,L!aW,1nLqw8p8uNs6Q69OIFXggy,Lofi Hip Hop
a spear of summer grass,bad at math.,0G8CZ0Y5yTYpdIZLJaACxY,Lofi Hip Hop
Taking Flight,saint rumi,65iRUAYRhdT42BVbczzjJR,Lofi Hip Hop
floppy,Flx.Lxiv,5fpBG24gwvLTPVt4LSpPnQ,Lofi Hip Hop
Ancient Stars,saint rumi,0RQxL39qNNNf8bGEnBXxmp,Lofi Hip Hop
Aspen,Loafy Building,2LHn9l8cctqUIbJ5f0C3l8,Lofi Hip Hop
wake up,Flx.Lxiv,3eDSY9QQ7h8YtJKwPJjE1H,Lofi Hip Hop
Slow Flowing River,boone,1dhuA9TeaRBxzuR3Oqtucs,Lofi Hip Hop
Grizzly,Claptu,2T9dAD5HqhQAM3oD0BaUtH,Lofi Hip Hop
the bright snow whispered,bad at math.,1ZB0JixVdhHNfaLZzavSSu,Lofi Hip Hop
Can't U Stay Forever?,Fourth Dogma,7MymfrMZA1B8cJbAPNAmIz,Lofi Hip Hop
Floating City,boone,1gebSbnadmLzIU58SvJtHG,Lofi Hip Hop
Across the moon,Prithvi,5WJggTl9cx4ANzXLjFnHdp,Lofi Hip Hop
tired;,L!aW,2NEpyMEK5uQouIlKpi8fVI,Lofi Hip Hop
Long Grass,boone,02hhPNnoYRlEsng2fyAzkm,Lofi Hip Hop
Distant Stars,Pevanni,0bH5mKDMS1YLmCeM9HBbU0,Lofi Hip Hop
a dream of the ocean,bad at math.,7j6sSL37emSIUAcfmI1iMa,Lofi Hip Hop
Dreamscape,Prithvi,76PBQFygjFG4HqSumD5KfH,Lofi Hip Hop
Fluffy Clouds,boone,0OGgCTROwM0EuMiuyt42Jx,Lofi Hip Hop
Snooze,Prithvi,1EPlW9rLM3bmE84JB1VpFU,Lofi Hip Hop
too early,Acey,2kR9PtDrsXDY0Rz3jscZG9,Lofi Hip Hop
Towering Pines,boone,481dM3SmbI46AAyboDHFtd,Lofi Hip Hop
Pillows,Prithvi,2mKBHExZLyVv5POntkRXLW,Lofi Hip Hop
dozing off,Acey,7eFjuGcoY8Wzhz7K2v7hm0,Lofi Hip Hop
Enchanted Earth,nate2timez,0v77CKfWL674MT6WrwOahZ,Lofi Hip Hop
Roadtrips,amies,4LWaWJrdcH1SNxqDDRCMS0,Lofi Hip Hop
snoozing,Acey,0lkiYQxb5Q8MSEqd9d9CcW,Lofi Hip Hop
Falling Leaves,amies,1Q0y0P9zcU4Lk63k6DD94Y,Lofi Hip Hop
back to sleep,Acey,5p7P3ggIRrh5ErUqnoaDLO,Lofi Hip Hop
Floating Abode,nate2timez,0yJJZwiCj2rP44HQToOoXx,Lofi Hip Hop
Flow,boone,6DLTeTBxZj90toJs3XcjxJ,Lofi Hip Hop
stayed up too late,Acey,10u7eI4pU3T54ppX7uEOuA,Lofi Hip Hop
Flowers for my girl,Simon Groß,0kiE3bYbMMhUvvULmPHPKE,Lofi Hip Hop
Pendelbus,Pevanni,2grojI6uFyxUIaRP4LzAMJ,Lofi Hip Hop
Forge Onwards,Kainbeats,0j7S7ie03ByoLerqyZeOhp,Lofi Hip Hop
"for you, over again",Giulio,6dxX736Rq8kUuTkODsm6hU,Lofi Hip Hop
Space Birds,Pevanni,1yAl2fzb4B61KI3ZwA0Iuq,Lofi Hip Hop
Golden Hour,amies,14WUtx81AxHBwOjMlTd8cT,Lofi Hip Hop
Healing,boone,2FfAfWWbsZXX0OCVSRVt6N,Lofi Hip Hop
Homeward Drift,nate2timez,1Lrc64Ybv6dxb3O2NnE19l,Lofi Hip Hop
"if i stay here, i cant grow",L!aW,3V3qdrs4rwJXj7Y4WU9DcU,Lofi Hip Hop
in my dream you kissed me,Cauzy,3qQT3lP1dLQm8omcxOUutl,Lofi Hip Hop
i want what they have,Cauzy,2g7yMxNwk0MhIpftWnRMcL,Lofi Hip Hop
Journey Below,nate2timez,7ir53GejsllTlXCD6V8kZm,Lofi Hip Hop
"Knives, Knives",Fourth Dogma,3cjrW5djlmSS5DYAiHuc6I,Lofi Hip Hop
lost in the night,L!aW,55dFgoXfkbxAlW6wllNBSX,Lofi Hip Hop
Lunch Break,Sutton,4DsGt3Wu6iEvauVTfuo1we,Lofi Hip Hop
Path of Light,alhivi,6VmAYgm2sGfDyGWs4K5rQO,Lofi Hip Hop
Mangrove Forest,MyceliumBug,0je4e2yWIp8SKV6oHCbNdm,Lofi Hip Hop
Whispers of Water,alhivi,0vxtdLcsPbPKVfCe1TwJir,Lofi Hip Hop
May Dreams Come True,Pevanni,51BEARXU7ZnPPAYLJ8zgE4,Lofi Hip Hop
Nostalgic Sky,alhivi,2hJhdPirtizx4E5hz7bvE0,Lofi Hip Hop
Mysterious Grove,MyceliumBug,7AWpVeMEunCOjCCox2Qq42,Lofi Hip Hop
"Natsukashii, Pleased Nostalgia",alhivi,5EkE3pKip0yB8YTd9daXp5,Lofi Hip Hop
Natsuni Wakarete,Fourth Dogma,05uPFGZ4teg2gM2Zv2BXou,Lofi Hip Hop
Nocturnal Dreams,Prithvi,0vLG3RWBi2DsaZMwqjyWhZ,Lofi Hip Hop
Song of Rain,alhivi,7atjiPsmGMufoFBfmsh0FI,Lofi Hip Hop
Starlit Rooftops,Alex Hue,6D3pJ7Hym3lCAXLSvKcyOm,Lofi Hip Hop
Sayōnara,HoKø,3BwzweF8QqNzTr1oCXusIj,Lofi Hip Hop
"one day, this seed will be a tree",L!aW,5MiLVqxxA2fqFmTEzPeMkK,Lofi Hip Hop
Smile Again,TonybtM,43QSpKUINsc36W9VVtB1I5,Lofi Hip Hop
Painted Stars,MyceliumBug,3WGZOg3MUBgq7Oc4zvA4nf,Lofi Hip Hop
Quiet Mornings,Pevanni,7hg52WHCnsGOxMLhcdOqN2,Lofi Hip Hop
Used To Be Happier Last Year,Chill Denis,2IxbsXkp2EvctWT7nGlfH6,Lofi Hip Hop
You Should Have Never Left,Tyler.l,6BxBHWrPsq7k7E177LSC34,Lofi Hip Hop
Remember Your History,Kainbeats,25VSpwcEwlTW06eZicZt9G,Lofi Hip Hop
Echoes of Your Absence,Tyler.l,5UjGXgmWeEez96pep1PsBx,Lofi Hip Hop
Reflection,amies,66sXnauEpeLY52Em6hRIWg,Lofi Hip Hop
The Void You Let,Tyler.l,18Qg63wN0AVz5cAaoeIkBe,Lofi Hip Hop
Staring At The Sky,amies,3riD0wYuZDGJY1zgUsKuMH,Lofi Hip Hop
Silent Goodbye,Tyler.l,4UCT6CIK26ShpzvnpuJycs,Lofi Hip Hop
Thicket Lullaby,MyceliumBug,7M9KrNR2eHNcYXtpr3kUOQ,Lofi Hip Hop
Tigereye,Pevanni,5HSwyoCNHHmP4xzUACjjHp,Lofi Hip Hop
There Is Still Hope For You,Tyler.l,2JB2QjehItA693PbdxvJgC,Lofi Hip Hop
Treasures Of The Night,Dark Winter,2yamYxDuuaeui81lAEzl1i,Lofi Hip Hop
Tropical,boone,0MlgBMKwnMQCsQiiQ2bnGN,Lofi Hip Hop
Wahdon,Fairuz,0D9yc110AaVMweJLTKVFjJ,cry then vibe 
Beiny We Beinak - Live,Hoda Haddad,3XyvgKHmrWHV9wxQwbwGSJ,cry then vibe 
Lw Kan,El Shab Arab,2ov40EF0gnt0t72ilfoXqV,cry then vibe 
Pendant,Cuco,45iJnPjul5yDYefM6GEYZB,cry then vibe 
Die For You,Joji,00WLowvlN5cjkYpQV6pjo4,cry then vibe 
Pink Matter,Frank Ocean,1fOkmYW3ZFkkjIdOZSf596,cry then vibe 
LOVE YOU LESS,Joji,5bhTUxSNkAZ4H3uFjSJRTY,cry then vibe 
How Many Years,Yebba,4u7hPfDnZX5vTO0u5hltt9,cry then vibe 
Love/Paranoia,Tame Impala,5h9hkYIBWTZYFRmF6Iz1gt,cry then vibe 
BITTERSUITE,Billie Eilish,7DpUoxGSdlDHfqCYj0otzU,cry then vibe 
Roses,Kanye West,37VEaFy0C5eOPdTIjiRwwh,cry then vibe 
Love Yourz,J. Cole,2e3Ea0o24lReQFR4FA7yXH,cry then vibe 
"God Is Fair, Sexy Nasty (feat. Kendrick Lamar)",Mac Miller,6hzbRKhJHo6cfCHSnNaDS8,cry then vibe 
Given Up On Me,The Weeknd,3niLgyM9yJTaZMpeXjjSSk,cry then vibe 
Tuscan Leather,Drake,69gz9onZQNVw55cMQsaYii,cry then vibe 
Lost In Yesterday,Tame Impala,5JWPUEov2wlX7c0jhYZpeB,cry then vibe 
Faith,The Weeknd,3orEOtd8CPL8GFlpRpKuoE,cry then vibe 
RUNITUP (feat. Teezo Touchdown),"Tyler, The Creator",0lXJL0unztXDdIOXu5xCML,cry then vibe 
MAFIA,Travis Scott,08F16baYbciTva9P4BvpiI,cry then vibe 
Embarrassed (feat. Travis Scott),Don Toliver,6w9GrSUaQQIaMBYtabge7p,cry then vibe 
In Your Eyes,The Weeknd,7szuecWAPwGoV1e5vGu8tl,cry then vibe 
Love/Paranoia,Tame Impala,5h9hkYIBWTZYFRmF6Iz1gt,🌟
On Track,Tame Impala,0IuE6FnXPCdZ8NLuuvJRhb,🌟
1AM FREESTYLE,Joji,7EAQfy8KYXbx2UqNF4envA,🌟
Human Sadness,The Voidz,3YB9cvd668HXBEq8rbBW8P,🌟
Wahdon,Fairuz,0D9yc110AaVMweJLTKVFjJ,🌟
The Moment,Tame Impala,1UYj8qTWjneZJDVjUMwMub,🌟
Elephant,Tame Impala,6qZjm61s6u8Ead9sWxCDro,🌟
Eternal Summer,The Strokes,6IRzBP4gVoV4D2zHmocoWy,🌟
Desire Be Desire Go,Tame Impala,58tlMmF2L9h3NKwn07sV7N,discovery
It Is Not Meant To Be,Tame Impala,3Yub3anoLj8w58TVpEXUJv,discovery
Lucidity,Tame Impala,4EC81w5nKG5tZlkHyKT2vO,discovery
Solitude Is Bliss,Tame Impala,2a2MbiJN2skOxohykOVcss,discovery
Expectation,Tame Impala,1FnHpM2zimTALdIvuxFoNM,discovery
The Bold Arrow Of Time,Tame Impala,7r7yAFxq6CwakQB5NrJskh,discovery
If You Want Me To Show You,CASZT,3rwOGx49GbWafi1m0ZhKZx,discovery
Everything Has Changed,CASZT,3FJ9jHGfDQ9wSdv5KTh5P2,discovery
Jet Stream Heart,Temples,0tIi8FsNFChexzMAkkjCcE,discovery
Sundown Syndrome,Tame Impala,3ZuT0Evo8chdVM6rPXXqgd,discovery
One Way Trigger,The Strokes,5GKVcvTgnFYtfh25qKQtRg,discovery
Partners In Crime,The Strokes,2ncRH1zCER8iHXYhlHXyam,discovery
Welcome To Japan,The Strokes,7bfocP7GYoLOutUYpTI8tx,discovery
What Ever Happened?,The Strokes,78Gzxi27GuNHTfkn2BylG4,discovery
12:51,The Strokes,6Yu1OL8I0D4vjOzYdsXYGK,discovery
You Talk Way Too Much,The Strokes,6lnnaGN20kl0jEYJSxCgU9,discovery
"I'll Try Anything Once (""You Only Live Once"" demo) - Heart In a Cage B-Side",The Strokes,1L0C3xvOtzHSOSZ5T59n0L,discovery
It Is Not Meant To Be,Tame Impala,3Yub3anoLj8w58TVpEXUJv,it might speak to you
Desire Be Desire Go,Tame Impala,4LD5p1sSp97yp86E2zDZwK,it might speak to you
If You Want Me To Show You,CASZT,3rwOGx49GbWafi1m0ZhKZx,it might speak to you
Everything Has Changed,CASZT,3FJ9jHGfDQ9wSdv5KTh5P2,it might speak to you
Souk Eye,Gorillaz,4fjzDf54eBNOlW45mNe14U,it might speak to you
Jet Stream Heart,Temples,0tIi8FsNFChexzMAkkjCcE,it might speak to you
Sundown Syndrome,Tame Impala,3ZuT0Evo8chdVM6rPXXqgd,it might speak to you
One Way Trigger,The Strokes,5GKVcvTgnFYtfh25qKQtRg,it might speak to you
Partners In Crime,The Strokes,2ncRH1zCER8iHXYhlHXyam,it might speak to you
"Call It Fate, Call It Karma",The Strokes,3Y4rUyw7XBCK6hGHCOt6rp,it might speak to you
What Ever Happened?,The Strokes,78Gzxi27GuNHTfkn2BylG4,it might speak to you
12:51,The Strokes,6Yu1OL8I0D4vjOzYdsXYGK,it might speak to you
You Talk Way Too Much,The Strokes,6lnnaGN20kl0jEYJSxCgU9,it might speak to you
"I'll Try Anything Once (""You Only Live Once"" demo) - Heart In a Cage B-Side",The Strokes,1L0C3xvOtzHSOSZ5T59n0L,it might speak to you
"I'll Try Anything Once (""You Only Live Once"" demo) - Heart In a Cage B-Side",The Strokes,3wJpoTNAR3pURNjZV6j6VQ,it might speak to you
A Match Into Water,Pierce The Veil,54MXF9I8s3DuiQo3g0gZ5k,it might speak to you
The Blonde,TV Girl,72cGBEqu7RitIOoACXYjfR,best of tv girl
Lovers Rock,TV Girl,6dBUzqjtbnIa1TwYbyw5CM,best of tv girl
Cigarettes out the Window,TV Girl,6QeYSvYqYUsfBzsApbjDHO,best of tv girl
Heaven Is a Bedroom,TV Girl,0REaf0xqIOxEXGZgOXfrCW,best of tv girl
Cynical One,TV Girl,5PaCrBjL6W6Gq60kJzuw9y,best of tv girl
Every Stupid Actress,TV Girl,7eClhHlXfHnMwZdR281GlK,best of tv girl
The Night in Question,TV Girl,3qsctOMzL1FE9mBpt4FZHo,best of tv girl
It Almost Worked,TV Girl,4NUhcsz9E1LrBe8nXLZqzp,best of tv girl
The Night Time,TV Girl,4p35fkAfyJ2QuaqOw5xldu,best of tv girl
99.5,TV Girl,5lTSeN1WSAv6YVBgrIUBav,best of tv girl
Better in the Dark,Jordana,3SeDS5sSoWnwAZvVgkdKzf,best of tv girl
Sweet to Dream,Jordana,6kDyRP48g1KWahq8irqZF9,best of tv girl
It Is Not Meant To Be,Tame Impala,3Yub3anoLj8w58TVpEXUJv,it might speak to you
Desire Be Desire Go,Tame Impala,4LD5p1sSp97yp86E2zDZwK,it might speak to you
If You Want Me To Show You,CASZT,3rwOGx49GbWafi1m0ZhKZx,it might speak to you
Everything Has Changed,CASZT,3FJ9jHGfDQ9wSdv5KTh5P2,it might speak to you
Souk Eye,Gorillaz,4fjzDf54eBNOlW45mNe14U,it might speak to you
Jet Stream Heart,Temples,0tIi8FsNFChexzMAkkjCcE,it might speak to you
Sundown Syndrome,Tame Impala,3ZuT0Evo8chdVM6rPXXqgd,it might speak to you
One Way Trigger,The Strokes,5GKVcvTgnFYtfh25qKQtRg,it might speak to you
Partners In Crime,The Strokes,2ncRH1zCER8iHXYhlHXyam,it might speak to you
"Call It Fate, Call It Karma",The Strokes,3Y4rUyw7XBCK6hGHCOt6rp,it might speak to you
What Ever Happened?,The Strokes,78Gzxi27GuNHTfkn2BylG4,it might speak to you
12:51,The Strokes,6Yu1OL8I0D4vjOzYdsXYGK,it might speak to you
You Talk Way Too Much,The Strokes,6lnnaGN20kl0jEYJSxCgU9,it might speak to you
"I'll Try Anything Once (""You Only Live Once"" demo) - Heart In a Cage B-Side",The Strokes,1L0C3xvOtzHSOSZ5T59n0L,it might speak to you
Desire Be Desire Go,Tame Impala,58tlMmF2L9h3NKwn07sV7N,discovery
It Is Not Meant To Be,Tame Impala,3Yub3anoLj8w58TVpEXUJv,discovery
Lucidity,Tame Impala,4EC81w5nKG5tZlkHyKT2vO,discovery
Solitude Is Bliss,Tame Impala,2a2MbiJN2skOxohykOVcss,discovery
Expectation,Tame Impala,1FnHpM2zimTALdIvuxFoNM,discovery
The Bold Arrow Of Time,Tame Impala,7r7yAFxq6CwakQB5NrJskh,discovery
If You Want Me To Show You,CASZT,3rwOGx49GbWafi1m0ZhKZx,discovery
Everything Has Changed,CASZT,3FJ9jHGfDQ9wSdv5KTh5P2,discovery
Jet Stream Heart,Temples,0tIi8FsNFChexzMAkkjCcE,discovery
Sundown Syndrome,Tame Impala,3ZuT0Evo8chdVM6rPXXqgd,discovery
One Way Trigger,The Strokes,5GKVcvTgnFYtfh25qKQtRg,discovery
Partners In Crime,The Strokes,2ncRH1zCER8iHXYhlHXyam,discovery
Welcome To Japan,The Strokes,7bfocP7GYoLOutUYpTI8tx,discovery
What Ever Happened?,The Strokes,78Gzxi27GuNHTfkn2BylG4,discovery
12:51,The Strokes,6Yu1OL8I0D4vjOzYdsXYGK,discovery
You Talk Way Too Much,The Strokes,6lnnaGN20kl0jEYJSxCgU9,discovery
"I'll Try Anything Once (""You Only Live Once"" demo) - Heart In a Cage B-Side",The Strokes,1L0C3xvOtzHSOSZ5T59n0L,discovery
Love/Paranoia,Tame Impala,5h9hkYIBWTZYFRmF6Iz1gt,🌟
On Track,Tame Impala,0IuE6FnXPCdZ8NLuuvJRhb,🌟
1AM FREESTYLE,Joji,7EAQfy8KYXbx2UqNF4envA,🌟
Human Sadness,The Voidz,3YB9cvd668HXBEq8rbBW8P,🌟
Wahdon,Fairuz,0D9yc110AaVMweJLTKVFjJ,🌟
The Moment,Tame Impala,1UYj8qTWjneZJDVjUMwMub,🌟
Elephant,Tame Impala,6qZjm61s6u8Ead9sWxCDro,🌟
Eternal Summer,The Strokes,6IRzBP4gVoV4D2zHmocoWy,🌟
Wahdon,Fairuz,0D9yc110AaVMweJLTKVFjJ,cry then vibe 
Beiny We Beinak - Live,Hoda Haddad,3XyvgKHmrWHV9wxQwbwGSJ,cry then vibe 
Lw Kan,El Shab Arab,2ov40EF0gnt0t72ilfoXqV,cry then vibe 
Pendant,Cuco,45iJnPjul5yDYefM6GEYZB,cry then vibe 
Die For You,Joji,00WLowvlN5cjkYpQV6pjo4,cry then vibe 
Pink Matter,Frank Ocean,1fOkmYW3ZFkkjIdOZSf596,cry then vibe 
LOVE YOU LESS,Joji,5bhTUxSNkAZ4H3uFjSJRTY,cry then vibe 
How Many Years,Yebba,4u7hPfDnZX5vTO0u5hltt9,cry then vibe 
Love/Paranoia,Tame Impala,5h9hkYIBWTZYFRmF6Iz1gt,cry then vibe 
BITTERSUITE,Billie Eilish,7DpUoxGSdlDHfqCYj0otzU,cry then vibe 
Roses,Kanye West,37VEaFy0C5eOPdTIjiRwwh,cry then vibe 
Love Yourz,J. Cole,2e3Ea0o24lReQFR4FA7yXH,cry then vibe 
"God Is Fair, Sexy Nasty (feat. Kendrick Lamar)",Mac Miller,6hzbRKhJHo6cfCHSnNaDS8,cry then vibe 
Given Up On Me,The Weeknd,3niLgyM9yJTaZMpeXjjSSk,cry then vibe 
Tuscan Leather,Drake,69gz9onZQNVw55cMQsaYii,cry then vibe 
Lost In Yesterday,Tame Impala,5JWPUEov2wlX7c0jhYZpeB,cry then vibe 
Faith,The Weeknd,3orEOtd8CPL8GFlpRpKuoE,cry then vibe 
RUNITUP (feat. Teezo Touchdown),"Tyler, The Creator",0lXJL0unztXDdIOXu5xCML,cry then vibe 
MAFIA,Travis Scott,08F16baYbciTva9P4BvpiI,cry then vibe 
Embarrassed (feat. Travis Scott),Don Toliver,6w9GrSUaQQIaMBYtabge7p,cry then vibe 
In Your Eyes,The Weeknd,7szuecWAPwGoV1e5vGu8tl,cry then vibe 
