artiste_source,tag,poids_tag
The Strokes,indie rock,100
The Strokes,indie,85
The Strokes,rock,53
The Strokes,alternative,40
The Strokes,alternative rock,19
Tame Impala,Psychedelic Rock,100
Tame Impala,psychedelic,91
Tame Impala,indie rock,38
Tame Impala,australian,31
Tame Impala,rock,13
The Voidz,Experimental Rock,100
The Voidz,indie rock,90
The Voidz,Neo-Psychedelia,59
The Voidz,experimental,46
The Voidz,synth punk,23
Don Toliver,rap,100
Don Toliver,trap,100
Don Toliver,Hip-Hop,36
Don Toliver,rnb,22
Don Toliver,texas,8
Joji,rnb,100
Joji,Lo-Fi,100
Joji,Hip-Hop,45
Joji,alternative rnb,40
Joji,japanese,15
Muse,alternative rock,100
Muse,rock,72
Muse,Progressive rock,43
Muse,alternative,40
Muse,indie,15
Kanye West,Hip-Hop,100
Kanye West,rap,69
Kanye West,hip hop,25
Kanye West,rnb,24
Kanye West,Kanye West,7
The Weeknd,rnb,100
The Weeknd,electronic,72
The Weeknd,dubstep,26
The Weeknd,Canadian,25
The Weeknd,prog-rnb,7
Pierce The Veil,post-hardcore,100
Pierce The Veil,emocore,42
Pierce The Veil,experimental,24
Pierce The Veil,emo,19
Pierce The Veil,post hardcore,7
Travis Scott,Hip-Hop,100
Travis Scott,trap,93
Travis Scott,rap,50
Travis Scott,travis scott,25
Travis Scott,hip hop,11
Fairuz,arabic,100
Fairuz,lebanese,67
Fairuz,female vocalists,34
Fairuz,world,25
Fairuz,Lebanon,12
Kali Uchis,rnb,100
Kali Uchis,Neo-Soul,96
Kali Uchis,soul,44
Kali Uchis,alternative rnb,42
Kali Uchis,pop,18
Kendrick Lamar,Hip-Hop,100
Kendrick Lamar,rap,70
Kendrick Lamar,west coast,19
Kendrick Lamar,hip hop,16
Kendrick Lamar,compton,6
Drake,Hip-Hop,100
Drake,rap,71
Drake,rnb,34
Drake,hip hop,26
Drake,Canadian,12
Gorillaz,electronic,100
Gorillaz,alternative,100
Gorillaz,Hip-Hop,44
Gorillaz,rock,36
Gorillaz,indie,17
Billie Eilish,pop,100
Billie Eilish,indie pop,66
Billie Eilish,electropop,41
Billie Eilish,art pop,29
Billie Eilish,alternative,14
TV Girl,indie pop,100
TV Girl,Lo-Fi,84
TV Girl,indie,51
TV Girl,chillwave,43
TV Girl,pop,12
Daft Punk,electronic,100
Daft Punk,House,63
Daft Punk,dance,36
Daft Punk,techno,26
Daft Punk,electronica,11
طارق العربي طرقان,syria,100
Nirvana,Grunge,100
Nirvana,rock,49
Nirvana,alternative rock,26
Nirvana,alternative,25
Nirvana,90s,11
Omar Khairat,instrumental,100
Omar Khairat,egyptian,73
Omar Khairat,arabic,12
Omar Khairat,Classical,5
Omar Khairat,composer,3
"Tyler, The Creator",Hip-Hop,100
"Tyler, The Creator",rap,57
"Tyler, The Creator",ofwgkta,29
"Tyler, The Creator",underground hip-hop,27
"Tyler, The Creator",swag,12
The Neighbourhood,indie,100
The Neighbourhood,indie rock,86
The Neighbourhood,indie pop,46
The Neighbourhood,rock,32
The Neighbourhood,alternative,7
Radiohead,rock,100
Radiohead,alternative,54
Radiohead,alternative rock,34
Radiohead,indie,24
Radiohead,electronic,11
Temples,psychedelic,100
Temples,Psychedelic Rock,85
Temples,indie rock,43
Temples,indie,36
Temples,neo-psych,13
Mac Miller,Hip-Hop,100
Mac Miller,rap,75
Mac Miller,underground hip-hop,20
Mac Miller,hip hop,14
Mac Miller,pittsburgh,6
JPEGMAFIA,Hip-Hop,100
JPEGMAFIA,glitch hop,95
JPEGMAFIA,experimental hip hop,52
JPEGMAFIA,experimental,52
JPEGMAFIA,experimental hip-hop,23
Cuco,dream pop,100
Cuco,experimental,100
Cuco,indie pop,52
Cuco,indie,29
Cuco,rnb,15
Playboi Carti,trap,100
Playboi Carti,cloud rap,72
Playboi Carti,Hip-Hop,42
Playboi Carti,rap,41
Playboi Carti,rage,14
A$AP Rocky,Hip-Hop,100
A$AP Rocky,rap,62
A$AP Rocky,underground hip-hop,19
A$AP Rocky,swag,17
A$AP Rocky,cloud rap,8
Frank Ocean,rnb,100
Frank Ocean,soul,90
Frank Ocean,Hip-Hop,49
Frank Ocean,r&b,32
Frank Ocean,ofwgkta,12
J. Cole,Hip-Hop,100
J. Cole,rap,69
J. Cole,hip hop,18
J. Cole,North Carolina,14
J. Cole,underground hip-hop,7
Thundercat,funk,100
Thundercat,electronic,87
Thundercat,soul,47
Thundercat,jazz,47
Thundercat,psychedelic,13
Baby Keem,rap,100
Baby Keem,Hip-Hop,100
Baby Keem,trap,58
Baby Keem,hip hop,15
Baby Keem,west coast hip hop,3
Brent Faiyaz,rnb,100
Brent Faiyaz,soul,58
Brent Faiyaz,electronic,12
Brent Faiyaz,Neo-Soul,8
Brent Faiyaz,alternative rnb,2
Men I Trust,dream pop,100
Men I Trust,indie pop,58
Men I Trust,indie,30
Men I Trust,downtempo,26
Men I Trust,Sophisti-Pop,13
Metro Boomin,trap,100
Metro Boomin,rap,87
Metro Boomin,Hip-Hop,44
Metro Boomin,hip hop,16
Metro Boomin,Southern Hip Hop,8
Justice,electronic,100
Justice,french,56
Justice,electro,37
Justice,dance,35
Justice,electronica,10
Steve Lacy,free jazz,100
Steve Lacy,jazz,90
Steve Lacy,rnb,28
Steve Lacy,saxophone,28
Steve Lacy,Avant-Garde Jazz,13
The Marías,dream pop,100
The Marías,indie pop,85
The Marías,bedroom pop,36
The Marías,indie,36
The Marías,Sophisti-Pop,8
Parcels,funk,100
Parcels,indie,68
Parcels,indie pop,35
Parcels,synthpop,20
Parcels,australian,10
Pink Floyd,Progressive rock,100
Pink Floyd,Psychedelic Rock,83
Pink Floyd,classic rock,44
Pink Floyd,rock,30
Pink Floyd,psychedelic,13
Khaled,rai,100
Khaled,arabic,98
Khaled,algerian,46
Khaled,world,41
Khaled,World Music,16
SZA,rnb,100
SZA,soul,79
SZA,alternative rnb,43
SZA,electronic,43
SZA,Neo-Soul,17
Childish Gambino,Hip-Hop,100
Childish Gambino,rap,71
Childish Gambino,hip hop,25
Childish Gambino,indie,20
Childish Gambino,underground hip-hop,9
Mac DeMarco,Lo-Fi,100
Mac DeMarco,indie,79
Mac DeMarco,post-punk,31
Mac DeMarco,experimental,29
Mac DeMarco,jangle pop,9
MGMT,electronic,100
MGMT,indie,92
MGMT,psychedelic,46
MGMT,alternative,35
MGMT,indie pop,17
EsDeeKid,cloud rap,100
EsDeeKid,british,44
EsDeeKid,Jerk,29
EsDeeKid,trap,29
EsDeeKid,rap,10
Hotel Ugly,Neo Soul,100
Hotel Ugly,indie,100
Hotel Ugly,alternative,16
Hotel Ugly,soul,16
Hotel Ugly,indie pop,8
Malcolm Todd,alternative rnb,100
Malcolm Todd,indie,25
Malcolm Todd,indie rock,17
Malcolm Todd,USA,17
Malcolm Todd,los angeles,8
Chezile,chillout,100
Chezile,indie,25
Chezile,alternative,17
Chezile,pop,17
Chezile,chill,8
Beach House,dream pop,100
Beach House,indie pop,54
Beach House,indie,32
Beach House,Lo-Fi,29
Beach House,Dreamy,8
Arctic Monkeys,indie rock,100
Arctic Monkeys,indie,92
Arctic Monkeys,british,54
Arctic Monkeys,alternative,41
Arctic Monkeys,rock,20
Balu Brigada,indie,100
Balu Brigada,indie pop,100
Balu Brigada,New Zealand,66
Balu Brigada,indie rock,66
Balu Brigada,alternative,19
El Shab Arab,libyan,100
El Shab Arab,libya,100
Strawberry Guy,dream pop,100
Strawberry Guy,indie pop,74
Strawberry Guy,bedroom pop,38
Strawberry Guy,british,22
Strawberry Guy,shoegaze,3
Phoenix,indie,100
Phoenix,french,71
Phoenix,indie pop,45
Phoenix,electronic,38
Phoenix,rock,15
Sade,soul,100
Sade,jazz,69
Sade,female vocalists,41
Sade,chillout,31
Sade,pop,10
Akhras,arab pop,100
Akhras,jordan,100
Vacations,indie rock,100
Vacations,indie pop,100
Vacations,dream pop,40
Vacations,indie,40
Vacations,soul,7
21 Savage,trap,100
21 Savage,Hip-Hop,98
21 Savage,rap,64
21 Savage,hip hop,61
21 Savage,atlanta,20
Asal,canada,100
Asal,Canadian,100
Asal,pop,16
Asal,indie,16
Asal,Iranian,8
The Symposium,indie,100
The Symposium,indie pop,100
The Symposium,indie rock,66
The Symposium,american,66
The Symposium,good,8
Yeat,trap,100
Yeat,rap,70
Yeat,cloud rap,36
Yeat,rage,33
Yeat,plugg,12
Love Spells,newbreed,100
Love Spells,electronic,74
Love Spells,chillwave,49
Love Spells,post-whatever,29
Love Spells,Dope,7
alan vuong,rnb,100
alan vuong,California,25
alan vuong,United States,16
Nothing But Thieves,alternative rock,100
Nothing But Thieves,rock,75
Nothing But Thieves,indie rock,46
Nothing But Thieves,indie,30
Nothing But Thieves,alternative,12
Michel Berger,french,100
Michel Berger,chanson francaise,48
Michel Berger,Chanson Française,14
Michel Berger,singer-songwriter,14
Michel Berger,pop,3
Anyma,electronic,100
Anyma,ambient,64
Anyma,trance,42
Anyma,techno,24
Anyma,melodic techno,12
